Lesson Title,Source,Due date
[If/else statements](https://swcarpentry.github.io/r-novice-gapminder/07-control-flow/index.html),Software Carpentry,June 15th
Natural Language Processing,TBD,June 15th
[Tenents of writing good code in R](https://swcarpentry.github.io/r-novice-gapminder/16-wrap-up/index.html),Software Carpentry,June 15th
